score_value;pixel_count;share_percent
117;30;0.0423
120;96;0.1354
121;156;0.22
122;338;0.4767
123;639;0.9012
124;1182;1.6671
125;760;1.0719
126;1498;2.1127
127;575;0.811
129;324;0.457
130;327;0.4612
131;126;0.1777
132;16;0.0226
133;1753;2.4724
135;3122;4.4032
136;94;0.1326
137;3524;4.9702
138;2077;2.9294
139;1784;2.5161
140;451;0.6361
141;3558;5.0181
142;979;1.3808
143;2127;2.9999
144;2209;3.1155
145;4957;6.9912
146;2473;3.4879
147;724;1.0211
148;5268;7.4299
149;1857;2.6191
150;2633;3.7135
151;10;0.0141
152;4343;6.1253
153;98;0.1382
154;476;0.6713
155;412;0.5811
156;2729;3.8489
157;617;0.8702
158;4383;6.1817
160;55;0.0776
161;17;0.024
162;997;1.4061
163;1849;2.6078
164;1878;2.6487
165;92;0.1298
166;51;0.0719
167;1653;2.3314
169;29;0.0409
170;1875;2.6445
171;1342;1.8927
172;12;0.0169
173;1492;2.1043
175;73;0.103
177;41;0.0578
178;12;0.0169
179;27;0.0381
181;58;0.0818
183;268;0.378
187;11;0.0155
188;162;0.2285
189;37;0.0522
199;20;0.0282
208;127;0.1791
