score_value;pixel_count;share_percent
96;30;0.0423
98;96;0.1354
99;961;1.3554
100;2037;2.8729
101;2037;2.8729
102;188;0.2652
103;359;0.5063
104;444;0.6262
105;680;0.9591
106;2415;3.4061
107;4017;5.6655
108;1249;1.7616
109;3827;5.3975
110;34;0.048
111;2123;2.9942
112;4853;6.8446
113;2127;2.9999
114;4567;6.4412
115;4507;6.3566
116;5085;7.1718
117;3340;4.7107
118;207;0.2919
119;474;0.6685
120;3178;4.4822
121;1107;1.5613
122;98;0.1382
123;3105;4.3792
124;951;1.3413
125;4002;5.6443
126;627;0.8843
128;17;0.024
129;1052;1.4837
130;191;0.2694
131;3468;4.8912
132;68;0.0959
133;1695;2.3906
135;857;1.2087
136;1148;1.6191
137;1342;1.8927
139;1022;1.4414
140;3;0.0042
141;479;0.6756
144;73;0.103
146;68;0.0959
147;70;0.0987
148;268;0.378
154;154;0.2172
156;19;0.0268
158;37;0.0522
169;20;0.0282
177;127;0.1791
